"doc_id","nppes_provider_city","nppes_provider_state","number_of_hcpcs","total_services","total_medicare_allowed_amt","number_of_drug_hcpcs","total_drug_services","total_drug_medicare_allowed_amt","number_of_med_hcpcs","total_med_services","total_med_medicare_allowed_amt","beneficiary_average_risk_score","top_hcpcs_code_1","top_hcpcs_code_2","top_hcpcs_code_3","top_hcpcs_code_diff_submitted_received_amt_1","top_hcpcs_code_diff_submitted_received_amt_2","top_hcpcs_code_diff_submitted_received_amt_3"
"ZO1551304","ABINGTON","MA",36,2344,288179.29,2,91,270.41,34,2253,287908.88,1.6135,"99214","99215","95953",0.3770434,0.3511034,0.3501889
"KM1680158","SAN FRANCISCO","CA",10,969,155886.24,0,0,0,10,969,155886.24,1.4726,"99215","99214","99213",0.6503759,0.6219542,0.5075481
"BI9989839","ESSEXVILLE","MI",23,2234,235558.19,0,0,0,23,2234,235558.19,1.3954,"99233","99223","99291",0.6155385,0.6097849,0.5763524
"CH0202458","LAFAYETTE","IN",32,889,90007.86,0,0,0,32,889,90007.86,1.8968,"99215","99212","99214",0.521876,0.4833968,0.4693141
"YG5312030","TEMPE","AZ",12,101,10411.62,NA,NA,NA,NA,NA,NA,1.2266,"99213","99214","99204",0.4256435,0.414602,0.3955791
"RQ5701450","ATLANTA","GA",66,31824,432445.61,8,28561,162262.23,58,3263,270183.38,1.4577,"95911","99292","99231",0.7840194,0.7839808,0.7839732
"XW3814016","LAKE SUCCESS","NY",60,20013,489397.7,5,16527,88720.16,55,3486,400677.54,1.2777,"95874","20553","73721",0.7840764,0.7840532,0.7840175
"AM6167321","WINCHESTER","VA",16,3864,143936.77,NA,NA,NA,NA,NA,NA,1.1648,"95812","99204","99213",0.616488,0.4711672,0.4397976
"SP5487597","BOCA RATON","FL",25,5474,549551.68,0,0,0,25,5474,549551.68,2.1156,"99335","99231","99310",0.7840498,0.7840387,0.7840306
"PA7984512","SEQUIM","WA",27,669,100286.23,5,22,61.69,22,647,100224.54,1.0341,"99205","99215","99214",0.3125343,0.288949,0.2754286
"FC3854023","VIRGINIA BEACH","VA",24,1024,106152.17,0,0,0,24,1024,106152.17,2.4497,"99223","99222","95822",0.5170428,0.5063651,0.4497
"QM4283799","IOWA CITY","IA",5,44,3825.27,0,0,0,5,44,3825.27,1.3138,"99214",NA,NA,0.2425923,NA,NA
"GH8229082","SAGINAW","MI",15,1553,203338.65,NA,NA,NA,NA,NA,NA,1.7467,"99233","99223","99205",0.6375433,0.6189182,0.5802377
"IO0201947","JOHNSTOWN","PA",21,1078,177783.39,0,0,0,21,1078,177783.39,1.6332,"95957","99213","99215",0.6559782,0.6007836,0.5905206
"EB6377060","BOSTON","MA",12,79,10339.32,0,0,0,12,79,10339.32,2.2255,"99223","99222",NA,0.2382951,0.2373053,NA
"NJ1983676","FORT WORTH","TX",37,5642,169356.15,NA,NA,NA,NA,NA,NA,2.146,"99233","99232","99223",0.4446703,0.4386719,0.4176142
"XO4767279","BOSTON","MA",36,5799,86969.19,3,5175,27974.1,33,624,58995.09,1.5338,"95885","99233","95911",0.2604889,0.2604165,0.2583667
"OQ0759934","PITTSBURGH","PA",28,345,42624.07,NA,NA,NA,NA,NA,NA,1.8769,"99213","99205","99215",0.3909873,0.3841179,0.3507232
